Sample time,Sample number,Sample type,strontium_total_ugL-1,tellurium_total_ugL-1,terbium_total_ugL-1,thallium_total_ugL-1,tin_total_ugL-1,titanium_total_ugL-1,tungsten_total_ugL-1,uranium_total_ugL-1,vanadium_total_ugL-1,ytterbium_total_ugL-1
2018-05-30 21:10,18PY005771,1,82,,,0.019,0.011,71.5,0.008,0.286,5.02,
2018-06-21 18:17,18PY005860,1,76.7,,,0.01,0.006,37.3,0.008,0.229,2.46,
2018-07-05 18:37,18PY005888,1,75.5,,,0.01,0.008,32.9,0.007,0.228,2.04,
2018-07-19 18:30,18PY006022,1,72.4,,,0.007,0.005,15.9,0.009,0.192,1.2,
2018-08-01 18:47,18PY006043,1,71.2,,,0.008,0.009,15.8,0.007,0.194,1.17,
2018-08-15 17:10,18PY006071,1,84.9,,,0.019,0.007,47.7,0.008,0.277,3.38,
2018-08-30 18:15,18PY006141,1,73.8,,,0.006,0.009,9.41,0.009,0.217,0.79,
2018-09-13 18:10,18PY006183,1,95.8,,,0.005,0.009,7.48,0.009,0.228,0.72,
2018-09-27 19:25,18PY006223,1,76.2,,,0.004,0.009,5.66,0.009,0.194,0.6,
2018-10-10 18:24,18PY006286,1,95.2,,,0.003,0.008,7.57,0.009,0.229,0.71,
2018-11-22 20:46,19PY000157,1,87,,,0.006,0.016,14.2,0.01,0.244,1.15,
2019-04-12 19:39,19PY000392,1,89.6,,,0.026,0.019,84.1,0.01,0.336,7.1,
2019-04-23 19:30,19PY000504,1,90.9,,,0.012,0.012,41.7,0.009,0.234,2.94,
2019-05-13 20:33,19PY000553,1,64.2,,,0.007,0.005,17.9,0.008,0.196,1.46,
2019-06-04 20:50,19PY000618,1,88.8,,,0.028,0.013,127,0.007,0.328,7.66,
2019-06-10 19:45,19PY000630,1,80.1,,,0.014,0.013,51.8,0.007,0.247,3.01,
2019-06-26 20:00,19PY000738,1,76.9,,,0.009,0.007,31.3,0.008,0.215,1.85,
2019-07-08 20:10,19PY000760,1,78.6,,,0.01,0.009,35.9,0.008,0.224,2.14,
2019-07-31 20:10,19PY000853,1,93.4,,,0.02,0.015,92,0.007,0.292,5.25,
2019-08-12 21:35,19PY000874,1,87.5,,,0.014,0.01,55.2,0.008,0.263,3.13,
2019-08-28 18:41,19PY000945,1,90,,,0.014,0.01,48.7,0.01,0.267,2.91,
2019-09-03 19:50,19PY000954,1,85.7,,,0.006,0.005,14.2,0.01,0.227,1,
2019-09-16 20:40,19PY000989,1,71.1,0.02,0.012,0.008,0.014,25.2,0.011,0.193,1.53,0.026
2019-09-30 20:00,19PY001024,1,87.7,0.02,0.022,0.011,0.012,41,0.009,0.251,2.47,0.051
2019-10-23 19:45,19PY001102,1,73.9,0.02,0.008,0.005,0.019,14.4,0.01,0.2,1.31,0.022
2019-11-12 20:14,19PY001363,1,89.8,0.02,0.003,0.003,0.005,1.26,0.031,0.0515,0.4,0.007
2020-02-10 21:56,20PY000180,1,70.7,0.02,0.007,0.006,0.015,11.7,0.013,0.187,0.97,0.017
2020-11-25 19:40,21PY000633,1,68.9,,,0.009,0.01,15.3,0.012,0.202,1.19,
2020-12-10 20:00,21PY000649,1,66.5,,,0.009,0.01,16.3,0.015,0.184,1.28,
2021-07-06 17:30,21PY000650,1,83.6,,,0.032,0.02,132,0.037,0.324,7.35,
2021-08-03 17:18,21PY000684,1,80.8,,,0.008,0.01,29.5,0.006,0.192,2.04,
2021-09-13 17:37,21PY000786,1,73.5,,,0.007,0.01,6.13,0.016,0.22,0.65,
2021-10-11 16:50,21PY000859,1,73.4,,,0.007,0.01,11.7,0.023,0.21,0.85,
2021-11-01 17:25,21PY000959,1,61.1,,,0.003,0.01,21.1,0.029,0.197,1.29,
2021-12-09 18:25,21PY001042,1,66.4,,,0.018,0.01,49.6,0.054,0.204,3.02,
2022-02-01 18:36,22PY000093,1,132,,,0.004,0.01,17.2,0.023,0.277,1.2,
2022-02-23 20:40,22PY000138,1,321,,,0.004,0.01,18.6,0.026,0.376,1.33,
2022-03-07 18:45,22PY000168,1,101,,,0.02,0.01,16.1,0.091,0.236,1.22,
2022-04-21 18:35,22PY000346,1,90.4,,,0.011,0.01,26,0.026,0.296,1.97,
2022-05-16 18:30,22PY000432,1,79.4,,,0.018,0.01,67.6,0.004,0.296,6.08,
2022-06-06 18:05,22PY000483,1,85.2,,,0.026,0.03,159,0.02,0.308,8.75,
