Sample time,Sample number,Sample type,niobium_total_ugL-1,palladium_total_ugL-1,platinum_total_ugL-1,praseodymium_total_ugL-1,rubidium_total_ugL-1,ruthenium_total_ugL-1,samarium_total_ugL-1,scandium_total_ugL-1,selenium_total_ugL-1,silver_total_ugL-1
2020-12-10 20:00,21PY000649,1,0.023,0.003,0.002,,1.03,,,,0.08,0.004
2021-07-06 17:30,21PY000650,1,0.142,0.004,0.002,,3.5,,,,0.07,0.019
2021-08-03 17:18,21PY000684,1,0.024,0.002,0.002,,1.45,,,,0.08,0.006
2021-09-13 17:37,21PY000786,1,0.009,0.002,0.002,,1.11,,,,0.09,0.002
2021-10-11 16:50,21PY000859,1,0.018,0.002,0.002,,1.14,,,,0.09,0.005
2021-11-01 17:25,21PY000959,1,0.034,0.002,0.002,,1.13,,,,0.09,0.004
2021-12-09 18:25,21PY001042,1,0.054,0.002,0.002,,1.34,,,,0.12,0.007
2022-02-01 18:36,22PY000093,1,0.024,0.003,0.002,,1.8,,,,0.11,0.005
2022-02-23 20:40,22PY000138,1,0.025,0.002,0.002,,4.24,,,,0.12,0.005
2022-03-07 18:45,22PY000168,1,0.021,0.002,0.002,,1.38,,,,0.15,0.006
2022-04-21 18:35,22PY000346,1,0.041,0.002,0.002,,1.43,,,,0.16,0.006
2022-05-16 18:30,22PY000432,1,0.041,0.003,0.002,,2.18,,,,0.11,0.02
2022-06-06 18:05,22PY000483,1,0.126,0.004,0.002,,2.9,,,,0.14,0.028
